Unnamed: 0,Unnamed: 0.1,Country,HappinessRank,HappinessScore,Whiskerhigh,Whiskerlow,EconomyGDPperCapita,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual,country_id,Latitude,Longitude,Predicted Outcome,Family_X,Family_y,Health_X,Health_y,Econ_X,Econ_y,TrustGovt_X,TrustGovt_y,Freedom_X,Freedom_y,Dystopia_X,Dystopia_y
0,0,Norway,1,7.537000179,7.594444821000001,7.479555538,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,2.277026653,109,60.472024,8.468946,Happier Than Average,7.537000179,1.53352356,7.537000179,0.796666503,7.537000179,1.616463184,7.537000179,0.315963835,7.537000179,0.635422587,7.537000179,2.277026653
1,1,Denmark,2,7.521999836,7.581728065,7.462271607000001,1.4823830130000002,1.5511215930000002,0.792565525,0.6260067220000001,0.355280489,0.400770068,2.3137073519999998,39,56.26392,9.501785,Happier Than Average,7.521999836,1.5511215930000002,7.521999836,0.792565525,7.521999836,1.4823830130000002,7.521999836,0.400770068,7.521999836,0.6260067220000001,7.521999836,2.3137073519999998
2,2,Iceland,3,7.504000187000001,7.622030473,7.385969901,1.48063302,1.6105740069999999,0.8335521220000001,0.627162635,0.47554022100000004,0.153526559,2.322715282,61,64.96305100000001,-19.020835,Happier Than Average,7.504000187000001,1.6105740069999999,7.504000187000001,0.8335521220000001,7.504000187000001,1.48063302,7.504000187000001,0.153526559,7.504000187000001,0.627162635,7.504000187000001,2.322715282
3,3,Switzerland,4,7.493999958,7.56177242,7.426227496,1.5649795530000001,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,2.276716232,143,46.818188,8.227511999999999,Happier Than Average,7.493999958,1.516911745,7.493999958,0.858131289,7.493999958,1.5649795530000001,7.493999958,0.367007285,7.493999958,0.620070577,7.493999958,2.276716232
4,4,Finland,5,7.468999863,7.5275420760000005,7.41045765,1.443571925,1.540246725,0.80915767,0.6179508570000001,0.24548277300000002,0.38261154299999994,2.430181503,47,61.92411,25.7481511,Happier Than Average,7.468999863,1.540246725,7.468999863,0.80915767,7.468999863,1.443571925,7.468999863,0.38261154299999994,7.468999863,0.6179508570000001,7.468999863,2.430181503
5,5,Netherlands,6,7.376999855,7.427425841,7.326573869,1.503944635,1.4289392230000002,0.810696125,0.585384488,0.47048983,0.282661825,2.294804096,103,52.132633,5.291266,Happier Than Average,7.376999855,1.4289392230000002,7.376999855,0.810696125,7.376999855,1.503944635,7.376999855,0.282661825,7.376999855,0.585384488,7.376999855,2.294804096
6,6,Canada,7,7.315999985,7.384402835,7.247597133999999,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,2.187264442,26,56.130366,-106.34677099999999,Happier Than Average,7.315999985,1.481348991,7.315999985,0.834557652,7.315999985,1.479204416,7.315999985,0.287371516,7.315999985,0.611100912,7.315999985,2.187264442
7,7,New Zealand,8,7.31400013,7.379510442000001,7.2484898179999995,1.405706048,1.548195124,0.8167597059999999,0.61406213,0.500005126,0.382816702,2.046456337,104,-40.900557,174.88597099999998,Happier Than Average,7.31400013,1.548195124,7.31400013,0.8167597059999999,7.31400013,1.405706048,7.31400013,0.382816702,7.31400013,0.61406213,7.31400013,2.046456337
8,8,Sweden,9,7.28399992,7.344094877000001,7.223904962000001,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,2.097537994,142,60.128161,18.643501,Happier Than Average,7.28399992,1.478162169,7.28399992,0.830875158,7.28399992,1.494387269,7.28399992,0.384398729,7.28399992,0.612924099,7.28399992,2.097537994
9,9,Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.6016073820000001,0.47769925,0.30118373,2.0652108190000003,7,-25.274398,133.775136,Happier Than Average,7.28399992,1.510041952,7.28399992,0.843886793,7.28399992,1.484414935,7.28399992,0.30118373,7.28399992,0.6016073820000001,7.28399992,2.0652108190000003
10,10,Israel,11,7.212999821,7.279853256,7.146146385,1.375382423,1.3762899640000001,0.838404,0.405988604,0.330082655,0.0852421,2.801757336,67,31.046051000000002,34.851612,Happier Than Average,7.212999821,1.3762899640000001,7.212999821,0.838404,7.212999821,1.375382423,7.212999821,0.0852421,7.212999821,0.405988604,7.212999821,2.801757336
11,11,Costa Rica,12,7.078999996,7.168111666000001,6.989888326,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.10010658900000001,2.898639202,35,9.748917,-83.753428,Happier Than Average,7.078999996,1.416403651,7.078999996,0.759509265,7.078999996,1.109706283,7.078999996,0.10010658900000001,7.078999996,0.58013165,7.078999996,2.898639202
12,12,Austria,13,7.006000042,7.070669812,6.941330272,1.4870972630000001,1.459944963,0.8153284190000001,0.56776619,0.316472322,0.221060365,2.138506413,8,47.516231,14.550072,Happier Than Average,7.006000042,1.459944963,7.006000042,0.8153284190000001,7.006000042,1.4870972630000001,7.006000042,0.221060365,7.006000042,0.56776619,7.006000042,2.138506413
13,13,United States,14,6.993000031,7.074656748,6.911343313,1.546259284,1.419920564,0.7742866279999999,0.5057405229999999,0.392578781,0.135638788,2.218113422,159,37.09024,-95.712891,Happier Than Average,6.993000031,1.419920564,6.993000031,0.7742866279999999,6.993000031,1.546259284,6.993000031,0.135638788,6.993000031,0.5057405229999999,6.993000031,2.218113422
14,14,Ireland,15,6.977000237,7.043351668,6.910648805,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,1.7738690380000002,66,53.1423672,-7.6920535999999995,Happier Than Average,6.977000237,1.558231115,6.977000237,0.809782624,6.977000237,1.535706639,6.977000237,0.298388153,6.977000237,0.573110342,6.977000237,1.7738690380000002
15,15,Germany,16,6.951000214,7.005381569,6.896618857999999,1.4879233840000001,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,2.015769958,51,51.165690999999995,10.451526,Happier Than Average,6.951000214,1.472520351,6.951000214,0.798950732,6.951000214,1.4879233840000001,6.951000214,0.276731938,6.951000214,0.562511384,6.951000214,2.015769958
16,16,Belgium,17,6.890999794,6.95582075,6.826178838,1.463780761,1.462312698,0.8180918690000001,0.539770722,0.231503338,0.251343131,2.124210358,13,50.503887,4.469936,Happier Than Average,6.890999794,1.462312698,6.890999794,0.8180918690000001,6.890999794,1.463780761,6.890999794,0.251343131,6.890999794,0.539770722,6.890999794,2.124210358
17,17,Luxembourg,18,6.862999916000001,6.923686099999999,6.802313732000001,1.7419435980000002,1.457583666,0.845089495,0.596627891,0.28318098199999997,0.318834424,1.6195120809999999,85,49.815273,6.129583,Happier Than Average,6.862999916000001,1.457583666,6.862999916000001,0.845089495,6.862999916000001,1.7419435980000002,6.862999916000001,0.318834424,6.862999916000001,0.596627891,6.862999916000001,1.6195120809999999
