,Unnamed: 0,Country,HappinessRank,HappinessScore,Whiskerhigh,Whiskerlow,EconomyGDPperCapita,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual,country_id,Latitude,Longitude,Predicted Outcome
144,144,Haiti,145,3.602999926,3.734714798,3.471285053,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,1.697167635,56,18.971187,-72.285215,Below Average Happiness
145,145,Yemen,146,3.592999935,3.69275032,3.49324955,0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,0.056767423,1.345600605,164,15.552727,48.516388,Below Average Happiness
146,146,South Sudan,147,3.59100008,3.725538586,3.456461574,0.397248626,0.601323128,0.163486004,0.147062436,0.285670817,0.116793513,1.879567385,136,6.8769919,31.3069788,Below Average Happiness
147,147,Liberia,148,3.532999992,3.653756261,3.412243724,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,1.673285961,82,6.428055,-9.429499,Below Average Happiness
148,148,Guinea,149,3.506999969,3.584428129,3.42957181,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,1.552311897,55,9.945587,-9.696645,Below Average Happiness
149,149,Togo,150,3.494999886,3.594038112,3.395961659,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,1.837229252,150,8.619543,0.824782,Below Average Happiness
150,150,Rwanda,151,3.470999956,3.543030234,3.398969679,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,0.540061235,123,-1.940278,29.873888,Below Average Happiness
151,151,Syria,152,3.461999893,3.663668557,3.26033123,0.777153134,0.396102607,0.500533342,0.081539445,0.493663728,0.151347131,1.061573505,144,34.802075,38.996815,Below Average Happiness
152,152,Tanzania,153,3.348999977,3.461429755,3.236570199,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107,0.621130466,148,-6.369028,34.888822,Below Average Happiness
153,153,Burundi,154,2.904999971,3.074690333,2.73530961,0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,0.084147945,1.683024168,23,-3.373056,29.918886,Below Average Happiness
154,154,Central African Republic,155,2.693000078,2.864884269,2.521115887,0,0,0.018772686,0.270842046,0.280876487,0.056565076,2.066004753,27,6.611111,20.939444,Below Average Happiness
