,Unnamed: 0,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,country_id,Latitude,Longitude
118,118,Haiti,Latin America and Caribbean,119,4.518,0.07331,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,56,18.971187,-72.28521500000001
119,119,Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0.0368,0.0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,34,-4.038333000000001,21.758664000000003
120,120,Nepal,Southern Asia,121,4.5139999999999985,0.03607,0.35997,0.86449,0.5687399999999999,0.38282,0.05907,0.32296,1.95637,102,28.394857000000002,84.12400799999999
121,121,Ethiopia,Sub-Saharan Africa,122,4.512,0.0378,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,46,9.145,40.489672999999996
122,122,Sierra Leone,Sub-Saharan Africa,123,4.507,0.07067999999999999,0.33024000000000003,0.95571,0.0,0.4084,0.08786000000000001,0.21488,2.51009,127,8.460555000000001,-11.779889
123,123,Mauritania,Sub-Saharan Africa,124,4.436,0.03947,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,92,21.00789,-10.940835
124,124,Kenya,Sub-Saharan Africa,125,4.419,0.04734,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,74,-0.023559,37.906193
125,125,Djibouti,Sub-Saharan Africa,126,4.369,0.08096,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,40,11.825138,42.590275
126,126,Armenia,Central and Eastern Europe,127,4.35,0.04763,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873,6,40.069099,45.038189
127,127,Botswana,Sub-Saharan Africa,128,4.332,0.04934,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,19,-22.328474,24.684866
128,128,Myanmar,Southeastern Asia,129,4.307,0.04351,0.27108000000000004,0.70905,0.4824600000000001,0.44017,0.19034,0.79588,1.41805,100,21.916221,95.955974
129,129,Georgia,Central and Eastern Europe,130,4.297,0.04221,0.7419,0.38562,0.72926,0.40577,0.38331,0.055470000000000005,1.59541,50,32.1656221,-82.9000751
